DOI,Year,Title,Journal
10.1016/B978-0-12-382225-3.00467-9,2015,BASIC ATMOSPHERIC STRUCTURE AND CONCEPTS | Wind Chill,Encyclopedia of Atmospheric Sciences
10.1016/B978-1-78242-380-5.00009-1,2015,9: High-albedo roof coatings for reducing building cooling needs,Eco-Efficient Materials for Mitigating Building Cooling Needs
10.1016/B978-1-78242-380-5.00006-6,2015,6: Comparison of the performance of different facade materials for reducing building cooling needs,Eco-Efficient Materials for Mitigating Building Cooling Needs
10.1016/B978-0-12-382225-3.00493-X,2015,NUMERICAL MODELS | Model Physics Parameterization,Encyclopedia of Atmospheric Sciences
10.1016/B978-1-78242-284-6.00007-6,2015,7: Modelling cold food chain processing and display environments,Modeling Food Processing Operations
10.20937/ATM.2015.28.03.05,2015,"The role of urban vegetation in temperature and heat island effects in Querétaro city, Mexico",Atmósfera
10.5094/APR.2015.078,2015,Seasonal and interannual variations in whole-ecosystem isoprene and monoterpene emissions from a temperate mixed forest in Northern China,Atmospheric Pollution Research
10.1533/9781782420965.4.549,2015,23: Thermal energy storage (TES) systems for cooling in residential buildings,Advances in Thermal Energy Storage Systems
10.14358/PERS.81.6.481,2015,Object-Based Building Change Detection from a Single Multispectral Image and Pre-Existing Geospatial Information,Photogrammetric Engineering & Remote Sensing
10.1016/B978-1-78242-010-1.00015-X,2015,15: Improved energy demand management in buildings for smart grids: The US experience,Eco-Friendly Innovation in Electricity Transmission and Distribution Networks
10.1016/B978-0-12-801520-9.00003-1,2015,"Chapter 3: Superstorm Sandy and Staten Island: Learning from the Past, Preparing for the Future",Learning from the Impacts of Superstorm Sandy
10.1007/s11434-015-0864-2,2015,"Modulation of the urban heat island by the tourism during the Chinese New Year holiday: a case study in Sanya City, Hainan Province of China",Science Bulletin
10.1016/B978-0-12-800940-6.00008-3,2015,Chapter VIII: Boiler Control System,Power Plant Instrumentation and Control Handbook
10.1016/B978-1-78242-380-5.00013-3,2015,13: Technical and economic analysis of green roofs to reduce building cooling needs,Eco-Efficient Materials for Mitigating Building Cooling Needs
10.4081/ija.2015.647,2015,Soil Bulk Electrical Resistivity and Forage Ground Cover: Nonlinear Models in an Alfalfa (<ce:italic>Medicago Sativa</ce:italic> L.) Case Study,Italian Journal of Agronomy
10.1016/S2212-5671(15)00218-X,2015,Heat Loss Rate of the Finnish Building Stock,Procedia Economics and Finance
10.1016/B978-1-78242-380-5.00017-0,2015,17: Electrochromic glazing and walls for reducing building cooling needs,Eco-Efficient Materials for Mitigating Building Cooling Needs
10.1016/B978-0-444-63529-7.00004-3,2015,"Chapter 2: Estuarine turbidity maxima revisited: Instrumental approaches, remote sensing, modeling studies, and new directions",Developments in Sedimentology
10.1016/B978-0-12-799936-4.00047-3,2015,"Chapter 47: Western Oregon Districts, Bureau of Land Management, United States of America",Forest Plans of North America
10.1016/B978-0-12-404696-2.00016-3,2015,Chapter 16: Forensic Applications of Subsurface Contaminant Transport Models,Introduction to Environmental Forensics
10.5094/APR.2015.005,2015,"Identifying sources of dust based on CALIPSO, MODIS satellite data and backward trajectory model",Atmospheric Pollution Research
10.1016/B978-1-78242-380-5.00005-4,2015,5: Green facades and living walls: vertical vegetation as a construction material to reduce building cooling loads,Eco-Efficient Materials for Mitigating Building Cooling Needs
10.1016/S0187-6236(15)30001-1,2015,Parameterization of net radiation in an arid city of northwestern Mexico,Atmósfera
10.1016/B978-0-12-800887-4.00028-6,2015,Chapter 28: DoS detection in WSNs: Energy-efficient designs and modeling tools for choosing monitoring nodes,Modeling and Simulation of Computer Networks and Systems
10.15302/J-ENG-2015112,2015,An Overview of the Smart Grid in Great Britain,Engineering
10.1016/B978-1-78242-380-5.09994-5,2015,Index,Eco-Efficient Materials for Mitigating Building Cooling Needs
10.1016/bs.agron.2014.12.004,2015,Chapter One: Fusion of Soil and Remote Sensing Data to Model Soil Properties,Advances in Agronomy
10.1007/s11434-015-0809-9,2015,Mass human migration and Beijing’s urban heat island during the Chinese New Year holiday,Science Bulletin
10.1016/S2212-5671(15)00151-3,2015,Stirring the Construction Project Management with Co-creation and Continuous Improvement,Procedia Economics and Finance
10.1016/S2212-5671(15)00213-0,2015,Experience Curve Effects in Bridge Construction,Procedia Economics and Finance
10.5623/cig2015-206,2015,Semi-Automated Building Footprint Extraction From Orthophotos,Geomatica
10.1016/B978-1-78242-233-4.00008-5,2015,8: Thermal behaviour in architectural fabric structures,Fabric Structures in Architecture
10.1016/B978-0-12-800067-0.00004-9,2015,Chapter 4: Application of a Simple Integrated Surface Water and Groundwater Model to Assess Mesoscale Watershed Development,Integrated Assessment of Scale Impacts of Watershed Intervention
10.1007/s12205-015-0341-0,2015,Dynamic modelling of water resources sustainable development using a mathematical approach,KSCE Journal of Civil Engineering
10.1016/B978-1-78242-102-3.00008-3,2015,8: Traffic models for machine-to-machine (M2M) communications: types and applications,Machine-to-machine (M2M) Communications
10.1016/B978-0-12-802122-4.00010-9,2015,Chapter 10: Implementation Experiences from Smart Grid Security Applications and Outlook on Future Research,Smart Grid Security
10.14358/PERS.81.3.239,2015,Small Landslide Susceptibility and Hazard Assessment Based on Airborne Lidar Data,Photogrammetric Engineering & Remote Sensing
10.1016/S2212-5671(15)00148-3,2015,A Novel Approach on Assessing Daylight Access in Schools,Procedia Economics and Finance
10.1016/S0360-1323(15)00017-7,2015,New blood for <ce:italic>Building and Environment</ce:italic>,Building and Environment
10.1016/B978-0-12-382225-3.00365-0,2015,CRYOSPHERE | Sea Ice,Encyclopedia of Atmospheric Sciences
10.1016/B978-0-12-409548-9.09165-X,2015,Measurement and Models,Reference Module in Earth Systems and Environmental Sciences
10.1016/S2212-5671(15)00187-2,2015,Embodied and Construction Phase Greenhouse Gas Emissions of a Low-energy Residential building,Procedia Economics and Finance
10.1016/B978-0-12-800887-4.00003-1,2015,Chapter 3: Rate adaptation algorithms for reliable multicast transmissions in wireless LANs,Modeling and Simulation of Computer Networks and Systems
10.1007/s12205-012-0628-3,2015,Prediction of pile settlement based on cone penetration test results: An ANN approach,KSCE Journal of Civil Engineering
10.1533/9781782420965.4.419,2015,16: Monitoring and control of thermal energy storage systems,Advances in Thermal Energy Storage Systems
10.1016/S2212-5671(15)00447-5,2015,Flood Risk as a Price-setting Factor in the Market Value of Real Property,Procedia Economics and Finance
10.1007/s11434-015-0876-y,2015,Multi-objective hydraulic optimization and analysis in a minipump,Science Bulletin
10.1016/B978-0-12-801379-3.00002-4,2015,Chapter 2: Emerging Technologies and Their Environmental Impact,Green Information Technology
10.1016/B978-0-12-803070-7.00002-8,2015,2: Reservoir modeling,Experimental Design in Petroleum Reservoir Studies
10.1016/B978-0-08-097086-8.92078-6,2015,Group Processes in the Classroom,International Encyclopedia of the Social & Behavioral Sciences
10.14358/PERS.81.12.927,2015,Geometric Accuracy Analysis Model of the Ziyuan-3 Satellite without GCPs,Photogrammetric Engineering & Remote Sensing
10.1016/S2212-5671(15)00174-4,2015,Circumventing Obstacles in Digital Construction Design – A Workaround Theory Perspective,Procedia Economics and Finance
10.4081/ija.2015.659,2015,Pastoral Suitability Driven by Future Climate Change Along the Apennines,Italian Journal of Agronomy
10.1017/S1751731114002456,2015,Dairy cattle in a temperate climate: the effects of weather on milk yield and composition depend on management,Animal
10.1016/B978-1-78242-119-1.00006-0,2015,"6: Case study of an ecological, smart home network: iZEUS-intelligent Zero Emission Urban System",Ecological Design of Smart Home Networks
10.1016/B978-1-78242-118-4.00007-1,2015,7: Gamma-ray tomography,Industrial Tomography
10.5094/APR.2015.056,2015,Modeling results of atmospheric dispersion of NO<ce:inf loc=post>2</ce:inf> in an urban area using METI–LIS and comparison with coincident mobile DOAS measurements,Atmospheric Pollution Research
10.1016/B978-1-78242-380-5.00008-X,2015,8: Innovative evaporative cooling walls,Eco-Efficient Materials for Mitigating Building Cooling Needs
10.1007/s12205-015-0351-y,2015,Comparison between static nonlinear and time history analysis using flexibility-based model for an existing structure and effect of taking into account soil using Domain Reduction Method for a single media,KSCE Journal of Civil Engineering
10.1016/B978-0-12-800975-8.00001-0,2015,Case Study 1: The Norwegian Approach to Competency Development in the Energy Industry: From School to Industry – How the Norwegian Model of Technical and Vocational Education has Nationalised the Energy Workforce,Education and Training for the Oil and Gas Industry
10.1016/B978-0-12-800555-2.00009-5,2015,Chapter 9: In-Home Deployments,Studying and Designing Technology for Domestic Life
10.1016/B978-1-78242-305-8.00016-4,2015,16: The properties and durability of adobe earth-based masonry blocks,Eco-Efficient Masonry Bricks and Blocks
10.1016/B978-0-08-100191-2.00022-8,2015,Chapter 22: Clay Soil in Suburban Environments: Movement and Stabilization through Vegetation,Ground Improvement Case Histories
10.1016/B978-0-08-099969-2.00018-1,2015,Chapter 18: HSPA system performance,HSPA Evolution
10.1016/S0378-7788(15)00403-X,2015,Editorial Board,Energy and Buildings
10.1016/B978-0-12-409540-3.00003-7,2015,Chapter 3: Innovative Systems for Storage of Thermal Solar Energy in Buildings,Solar Energy Storage
10.1016/B978-0-12-407909-0.00029-8,2015,Chapter 29: Biofuel Conversion Pathways Service Learning Projects and Case Studies,Bioenergy
10.1016/B978-1-78242-305-8.00004-8,2015,4: Traditional fired-clay bricks versus large and highly perforated fired-clay bricks masonry: Influence on buildings thermal performance,Eco-Efficient Masonry Bricks and Blocks
10.1016/B978-0-444-53802-4.00101-9,2015,5.07: Geomagnetic Induction Studies,Treatise on Geophysics
10.1016/S2212-5671(15)00611-5,2015,Empirical Testing of Real Option in the Real Estate Market,Procedia Economics and Finance
10.3168/jds.2014-8902,2015,"Modeling of coagulation, curd firming, and syneresis of milk from Sarda ewes",Journal of Dairy Science
10.1016/B978-0-444-63492-4.00010-1,2015,Chapter 10: Analyzing Big Spatial and Big Spatiotemporal Data: A Case Study of Methods and Applications,Handbook of Statistics
10.1016/B978-0-12-385938-9.00055-9,2015,Chapter 55: Lava Flow Hazards and Modeling,The Encyclopedia of Volcanoes
10.1016/B978-1-78242-102-3.00018-6,2015,18: Business models for machine-to-machine (M2M) communications,Machine-to-machine (M2M) Communications
10.1016/B978-0-12-382225-3.00087-6,2015,BOUNDARY LAYER (ATMOSPHERIC) AND AIR POLLUTION | Modeling and Parameterization,Encyclopedia of Atmospheric Sciences
10.1016/B978-0-12-801537-7.00003-2,2015,Chapter 2: Myths about Learning,Urban Myths about Learning and Education
10.1016/S2212-5671(15)00146-X,2015,Proposed Aspects for Evaluation of the Value of Spaces in Historic Buildings,Procedia Economics and Finance
10.1016/B978-1-78242-305-8.00011-5,2015,"11: The design, properties and performance of shape optimized masonry blocks",Eco-Efficient Masonry Bricks and Blocks
10.1016/B978-0-12-801370-0.00009-5,2015,Chapter 9: Generalized Linear Mixed Models,"Bayesian Data Analysis in Ecology Using Linear Models with R, BUGS, and STAN"
10.1016/B978-0-12-394849-6.00012-3,2015,Chapter 12: Snow Avalanches,"Snow and Ice-Related Hazards, Risks, and Disasters"
10.1016/B978-0-08-097086-8.53057-8,2015,Language and Poetic Structure,International Encyclopedia of the Social & Behavioral Sciences
10.1016/bs.adcom.2015.03.002,2015,Chapter Two: A Survey of Research on Data Corruption in Cyber–Physical Critical Infrastructure Systems,Advances in Computers
10.1007/s12205-013-0739-5,2015,Ontological inference of work item based on BIM data,KSCE Journal of Civil Engineering
10.1016/B978-0-12-420056-2.00004-X,2015,Chapter 4: Physical Models of Terrorism,The Science and Technology of Counterterrorism
10.1016/B978-1-78242-380-5.00010-8,2015,10: Solar cooling with hydrophilic porous materials for reducing building cooling needs,Eco-Efficient Materials for Mitigating Building Cooling Needs
10.1016/B978-1-78242-233-4.00010-3,2015,10: Environmental impact of architectural fabric structures,Fabric Structures in Architecture
10.4315/0362-028X.JFP-14-524,2015,Control of <ce:italic>Salmonella</ce:italic> Cross-Contamination between Green Round Tomatoes in a Model Flume System,Journal of Food Protection
10.1007/s12205-015-0663-y,2015,Enhancing post-nuclear temporary housing solutions in Taiwan,KSCE Journal of Civil Engineering
10.1016/B978-1-60805-979-9.50001-9,2015,Chapter 1: The Use of Dedicated Processors to Accelerate the Identification of Novel Antibacterial Peptides,Frontiers in Computational Chemistry
10.1016/B978-0-444-63492-4.00008-3,2015,Chapter 8: Big Data Applications in Health Sciences and Epidemiology,Handbook of Statistics
10.1016/S0378-7788(15)00052-3,2015,Editorial Board,Energy and Buildings
10.1016/B978-1-78242-380-5.00001-7,2015,1: Introduction to eco-efficient materials to mitigate building cooling needs,Eco-Efficient Materials for Mitigating Building Cooling Needs
10.1016/B978-0-08-097086-8.26017-0,2015,Decision Making: Nonrational Theories,International Encyclopedia of the Social & Behavioral Sciences
10.5094/APR.2015.058,2015,Submicron particle concentration and particle size distribution at urban and rural areas in the surroundings of building materials industries in central Spain,Atmospheric Pollution Research
10.1016/B978-0-12-801476-9.00003-3,2015,3: Resource Modeling and Definitions for Cloud Data Centers,Optimized Cloud Resource Management and Scheduling
10.1016/B978-0-12-804405-6.00005-1,2015,Chapter 5: Building Global Energy Interconnection,Global Energy Interconnection
10.1016/B978-0-12-396453-3.00005-8,2015,Chapter 5: Pyroclastic Density Current Hazards and Risk,"Volcanic Hazards, Risks and Disasters"
10.1016/B978-0-12-409548-9.09540-3,2015,Societal Relevance of Quaternary Research,Reference Module in Earth Systems and Environmental Sciences
10.14358/PERS.81.4.281,2015,Overview and Current Status of Remote Sensing Applications Based on Unmanned Aerial Vehicles (UAVs),Photogrammetric Engineering & Remote Sensing
10.1016/S2212-5671(15)00902-8,2015,Historical Perspective of Residential Development and its Impact on the Current Market Prices of Apartments on the Czech Real Estate Market,Procedia Economics and Finance
10.1016/B978-1-78242-229-7.00007-2,2015,7: Physiological strain and comfort in sports clothing,Textiles for Sportswear
10.5094/APR.2015.004,2015,Wildfires impact on surface nitrogen oxides and ozone in Central Italy,Atmospheric Pollution Research
10.1016/B978-0-12-799936-4.00033-3,2015,"Chapter 33: Forest Management Unit 13—Forest Management License (FMU) 3, Manitoba, Canada",Forest Plans of North America
10.1016/S0187-6236(15)72156-9,2015,Assessment of potential human health and environmental impacts of a nuclear power plant (NPP) based on atmospheric dispersion modeling,Atmósfera
10.1016/B978-0-12-801379-3.00015-2,2015,"Chapter 15: Cloud Computing, Sustainability, and Risk: Case Study: A Quantitative Fuzzy Optimization Model for Determining Cloud Inexperienced Risks’ Appetite",Green Information Technology
10.1016/B978-0-12-394849-6.00019-6,2015,Chapter 19: Retreat Instability of Tidewater Glaciers and Marine Ice Sheets,"Snow and Ice-Related Hazards, Risks, and Disasters"
10.1016/B978-0-323-29644-1.00028-1,2015,Chapter 28: Machine-Building Trends,"Vacuum Deposition Onto Webs, Films and Foils"
10.1016/B978-0-12-799968-5.00015-4,2015,"Chapter 15: Sustainability assessments of buildings, communities, and cities",Assessing and Measuring Environmental Impact and Sustainability
10.1016/S1470-2045(15)00222-3,2015,Expanding global access to radiotherapy,The Lancet Oncology
10.1007/s12205-013-0617-1,2015,A case study of time/cost analysis for aged-housing renovation using a pre-made BIM database structure,KSCE Journal of Civil Engineering
10.1007/s40070-014-0025-x,2015,Making decisions with multiple criteria: a case in energy sustainability planning,EURO Journal on Decision Processes
10.1016/B978-1-78242-088-0.50029-8,2015,Index,Advances in Thermal Energy Storage Systems
10.1016/B978-0-12-800730-3.00004-6,2015,Chapter 4: Circuit Modeling with Hardware Description Languages,Top-Down Digital VLSI Design
10.1016/B978-0-08-099425-3.00004-2,2015,Chapter 4: Modelling and Analysis of Suspension Systems,The Multibody Systems Approach to Vehicle Dynamics
10.1016/B978-0-12-802748-6.00002-4,2015,Chapter 2: Transfer of Knowledge and Mutual Learning on the Canadian Atlantic Coast,Coastal Zones
10.1016/B978-0-12-800881-2.00004-9,2015,Chapter 2.3: Robot-Assisted Wayfinding for the Visually Impaired in Structured Indoor Environments,Household Service Robotics
10.1016/B978-0-12-801996-2.00007-6,2015,Chapter 7: Learning from Ignorance: A Brief History of Pressure Vessel Integrity and Failures,High Integrity Systems and Safety Management in Hazardous Industries
10.1016/S2212-5671(15)00159-8,2015,Sustainable Facilities Management and Green Leasing: The Company Strategic Approach,Procedia Economics and Finance
10.1016/B978-0-12-800782-2.00011-7,2015,Chapter 11: Power Quality Solutions for Renewable Energy Systems,Power Quality in Power Systems and Electrical Machines
10.14358/PERS.81.8.657,2015,Using International Standards to Control the Positional Quality of Spatial Data,Photogrammetric Engineering & Remote Sensing
10.1016/B978-1-78242-118-4.00022-8,2015,22: Applications of tomography in oil-gas industry – Part 1,Industrial Tomography
10.1016/bs.mie.2015.04.011,2015,Chapter Thirteen: Hydrodynamic Models of G-Quadruplex Structures,Methods in Enzymology
10.1016/B978-0-444-53802-4.00120-2,2015,6.09: Mountain Building: From Earthquakes to Geologic Deformation,Treatise on Geophysics
10.1016/S2212-5671(15)01421-5,2015,Application of Queuing Model to Patient Flow in Emergency Department. Case Study,Procedia Economics and Finance
10.1016/B978-0-12-410434-1.00011-7,2015,Chapter 11: Wildland Fire Danger Rating and Early Warning Systems,"Wildfire Hazards, Risks and Disasters"
10.1016/B978-0-12-801413-4.00017-9,2015,Chapter 17: Cost Model Calculation,Cloud Data Centers and Cost Modeling
10.3382/ps/peu076,2015,Environmental assessment of three egg production systems–<ce:italic>Part I: Monitoring system and indoor air quality</ce:italic>,Poultry Science
10.5623/cig2015-203,2015,Examining Urban Expansion In The Greater Toronto Area Using Landsat Imagery From 1974–2014,Geomatica
10.1016/B978-0-12-800782-2.00002-6,2015,Chapter 2: Harmonic Models of Transformers,Power Quality in Power Systems and Electrical Machines
10.14358/PERS.81.9.709,2015,Extracting Pavement Surface Distress Conditions Based on High Spatial Resolution Multispectral Digital Aerial Photography,Photogrammetric Engineering & Remote Sensing
10.1016/B978-0-12-410434-1.00006-3,2015,Chapter 6: Wildfires: An Australian Perspective,"Wildfire Hazards, Risks and Disasters"
10.1016/S2212-5671(15)01415-X,2015,Diffuse Hotels in the Function of Creating Augmented Agricultural Households Tourist Offer Based on Innovations,Procedia Economics and Finance
10.1016/B978-0-12-385938-9.00031-6,2015,Chapter 31: Submarine Explosive Eruptions,The Encyclopedia of Volcanoes
10.1016/B978-0-12-385938-9.00022-5,2015,Chapter 22: Seamounts and Island Building,The Encyclopedia of Volcanoes
10.1533/9781782420965.2.285,2015,11: Design of latent heat storage systems using phase change materials (PCMs),Advances in Thermal Energy Storage Systems
10.1016/S0378-7788(15)00502-2,2015,Editorial Board,Energy and Buildings
10.1016/B978-0-12-801379-3.09990-3,2015,Index,Green Information Technology
10.1016/B978-0-12-802122-4.00004-3,2015,Chapter 4: Resilience Against Physical Attacks,Smart Grid Security
10.1016/S0378-7788(15)00491-0,2015,Editorial Board,Energy and Buildings
10.5094/APR.2015.038,2015,Estimating nitrous oxide emission flux from arable lands in China using improved background emission and fertilizer-induced emission factors,Atmospheric Pollution Research
10.1016/B978-1-78242-118-4.00023-X,2015,23: Applications of tomography in the oil-gas industry – Part 2,Industrial Tomography
10.1016/B978-0-12-382225-3.00451-5,2015,MESOSCALE METEOROLOGY | Waterspouts,Encyclopedia of Atmospheric Sciences
10.1016/B978-0-12-396453-3.00010-1,2015,Chapter 10: Human and Structural Vulnerability to Volcanic Processes,"Volcanic Hazards, Risks and Disasters"
10.1016/S0378-7788(15)00474-0,2015,Editorial Board,Energy and Buildings
10.1016/S0378-7788(15)00448-X,2015,Editorial Board,Energy and Buildings
10.1016/B978-0-08-100191-2.00020-4,2015,Chapter 20: The Role of Native Vegetation in Stabilizing Formation Soil for Transport Corridors: An Australian Experience,Ground Improvement Case Histories
10.1016/B978-0-12-385938-9.00054-7,2015,Chapter 54: Hazards from Pyroclastic Density Currents,The Encyclopedia of Volcanoes
10.1016/B978-0-08-097086-8.91025-0,2015,Land Change: The Merger of Land Cover and Land use Dynamics,International Encyclopedia of the Social & Behavioral Sciences
10.1016/B978-0-12-394849-6.00020-2,2015,"Chapter 20: Ice Sheets, Glaciers, and Sea Level","Snow and Ice-Related Hazards, Risks, and Disasters"
10.1007/s12205-014-0626-8,2015,Impact strength of Hybrid Steel Mesh-and-Fiber Reinforced Cementitious Composites,KSCE Journal of Civil Engineering
10.1016/B978-0-12-410461-7.00010-9,2015,"Chapter 10: Performance, Performance Testing, and Performance Optimization",Gas Turbines
10.1016/B978-0-444-53802-4.00082-8,2015,4.12: Earthquake Hydrology,Treatise on Geophysics
10.1016/B978-0-12-801060-0.00022-8,2015,Chapter 22: The New ASCE Tsunami Design Standard Applied to Mitigate Tohoku Tsunami Building Structural Failure Mechanisms,Handbook of Coastal Disaster Mitigation for Engineers and Planners
10.1016/B978-1-78242-228-0.00001-6,2015,1: Multiscale modeling of nanomaterials: recent developments and future prospects,"Modeling, Characterization, and Production of Nanomaterials"
10.1016/S0378-7788(15)00523-X,2015,Editorial Board,Energy and Buildings
10.1016/B978-0-444-53802-4.00117-2,2015,6.12: Tectonic Models for the Evolution of Sedimentary Basins,Treatise on Geophysics
10.1016/B978-0-12-382225-3.00442-4,2015,BOUNDARY LAYER (ATMOSPHERIC) AND AIR POLLUTION | Urban Heat Islands,Encyclopedia of Atmospheric Sciences
10.14358/PERS.81.1.69,2015,Mapping Wetlands and Phragmites Using Publically Available Remotely Sensed Images,Photogrammetric Engineering & Remote Sensing
10.1016/B978-0-12-394846-5.00002-3,2015,Chapter 2: Measuring and Mapping Flood Processes,"Hydro-Meteorological Hazards, Risks and Disasters"
10.1016/B978-0-12-802122-4.00016-X,2015,Subject Index,Smart Grid Security
10.1016/S1003-6326(15)63977-2,2015,Monitoring coal fires in Datong coalfield using multi-source remote sensing data,Transactions of Nonferrous Metals Society of China
10.1016/S0378-7788(15)00168-1,2015,Editorial Board,Energy and Buildings
10.1007/s12205-015-0100-2,2015,Relations between operational method and traffic accident of circular intersection in Korea,KSCE Journal of Civil Engineering
10.1017/S1751731115000798,2015,Effect of faecal soiling on skatole and androstenone occurrence in organic entire male pigs,Animal
10.1016/B978-0-12-801413-4.00008-8,2015,Chapter 8: Effective Air Distribution in Data Centers,Cloud Data Centers and Cost Modeling
10.1016/B978-0-08-097086-8.91027-4,2015,Geographic Information Systems and Remote Sensing,International Encyclopedia of the Social & Behavioral Sciences
10.1533/9781782420965.1.149,2015,"7: Analysis, modeling and simulation of underground thermal energy storage (UTES) systems",Advances in Thermal Energy Storage Systems
10.1016/S2212-5671(15)00887-4,2015,Productivity Improvement by Work and Time Study Technique for Earth Energy-glass Manufacturing Company,Procedia Economics and Finance
10.1016/S2212-5671(15)00155-0,2015,The Balance of Unbalanced Bidding,Procedia Economics and Finance
10.1016/B978-1-78242-380-5.00016-9,2015,"16: Fenestration for reducing building cooling needs: an introduction to spectral selectivity, thermochromics, and electrochromics",Eco-Efficient Materials for Mitigating Building Cooling Needs
10.1016/B978-0-12-801060-0.00003-4,2015,Chapter 3: Observations and Numerical Simulation of Storm Surge due to Cyclone Sidr 2007 in Bangladesh,Handbook of Coastal Disaster Mitigation for Engineers and Planners
10.1016/B978-0-12-800075-5.00006-6,2015,Chapter 6: Groundwater Management,Practical and Applied Hydrogeology
10.1016/B978-0-12-800202-5.00007-2,2015,Chapter 7: Modeling Structure with Blocks,A Practical Guide to SysML
10.1016/B978-0-12-802814-8.00009-2,2015,"9: Safety and firefighting equipment, part 1",Personnel Protection and Safety Equipment for the Oil and Gas Industries
10.1016/B978-0-12-800867-6.00007-8,2015,Chapter 7: Resolving conflicting observations and non-binary claims,Social Sensing
10.15302/J-ENG-2015109,2015,Agent-Based Simulation for Interconnection-Scale Renewable Integration and Demand Response Studies,Engineering
10.1016/S2212-5671(15)00196-3,2015,The Development Path of an Academic Co-working Space on Campus - Case Energy Garage,Procedia Economics and Finance
10.1016/S1755-0084(15)30049-1,2015,Solar + storage: A holistic view,Renewable Energy Focus
10.1016/B978-0-12-409548-9.09576-2,2015,Psychological and Mental Health Aspects of Ionizing Radiation Exposure,Encyclopedia of Environmental Health
10.3168/jds.2014-8235,2015,Effect of administration of recombinant bovine somatotropin on health and performance of lactating dairy cows diagnosed with hyperketonemia,Journal of Dairy Science
10.1016/S1876-3804(15)30038-0,2015,Innovation and prospect of geophysical technology in the exploration of deep oil and gas,Petroleum Exploration and Development
10.1016/B978-0-08-096811-7.50009-3,2015,I,Dictionary of Energy
10.1016/B978-0-12-382225-3.00491-6,2015,CLIMATE AND CLIMATE CHANGE | History of Scientific Work on Climate Change,Encyclopedia of Atmospheric Sciences
10.1016/B978-0-444-59517-1.00007-6,2015,Chapter 7: Cities and the Environment,Handbook of Regional and Urban Economics
10.1016/S2212-5671(15)00145-8,2015,Life Cycle Costing as an Early Stage Feasibility Analysis: The Adaptable Transformation of Willy Van Der Meeren's Student Residences,Procedia Economics and Finance
10.1016/B978-0-12-800347-3.00023-6,2015,Chapter 23: Have Natural Disasters Become Deadlier?,Sustainable Economic Development
10.1016/B978-0-85709-230-4.00011-X,2015,11: The effect of ink jet on the textile printing industry,Ink Jet Textile Printing
10.1016/B978-0-444-53802-4.00061-0,2015,3.12: Interferometric Synthetic Aperture Radar Geodesy,Treatise on Geophysics
