file,bucket_or_optimizer,term_hit,host_scales,systems_in_window,sentence
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,NM,NM,"In addition, a shorter control interval will result in more intervals in a prediction horizon, increasing the effort to solve the optimization problem in MPC."
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,system_model,acmv,"As such, 2 min was chosen to be fast enough, yet providing sufficient time for the low-level controllers to respond."
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,system_model,acmv,"The prediction horizon of the MPC controllers is 30 control intervals (60-mins), which covers the response time of the thermal conditions in the lecture theatre (e.g., around 30-mins for indoor PMV to be cooled down to the best thermal comfort during morning start-up of ACMV)."
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,system_model,acmv,2.4 Control system architecture The control system for the test room is illustrated in Fig.
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,NM,NM,"12 (a), indoor PMV was maintained close to the best thermal comfort (PMV = 0) during most of the class time in the two MPC settings."
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,NM,NM,"This could be attributed to the thermal comfort model, described by Eq."
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,system_model,ahu,"(10) , for thermal comfort optimization in MPC controllers."
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,system_model,acmv;chiller;pump,"ACMV electricity consumption consists of the consumption by chiller, fan and pump (in the case of MPC-SSLC)."
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,system_model,acmv;chiller;pump,The chiller electricity consumption is estimated based on the measured cooling energy and a COP value of 5.388 for the central chiller plant serving the test building.
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,system_model,ahu;chiller;pump,Electricity consumption by the fan and pump are measured by the electric power meters as described in Table 1 .
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,system_model,ahu;chiller;coil;doas;pump,These extra consumptions lead to less energy saving by MPC-SSLC than MPC-AHU.
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,system_model,ahu;coil;doas,"Conclusion
5 Conclusion This work proposed a model predictive control (MPC) system for the control of conventional single-coil air handling unit (AHU) and dedicated outdoor air system (DOAS)-assisted separate sensible and latent cooling (SSLC) systems."
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,system_model,ahu;coil;doas,"The MPC system employs a linear state-space building model, which consists of sub-models of thermodynamics, predicted mean vote (PMV) and air-conditioning system, for forward prediction of building responses."
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,NM,NM,A real-time optimization scheme with a multi-objective cost function is implemented which optimizes both cooling energy efficiency and indoor thermal comfort while maintaining indoor PMV and humidity within required ranges.
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,system_model,ahu;chiller;coil;doas,The slightly lower energy saving by the DOAS-assisted SSLC system is mainly caused by the lack of a separate higher-temperature chiller in the test building.
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,system_model,ahu;chiller;doas,"If the system is implemented in a building equipped with a separate higher-temperature chiller, it is estimated that the MPC-controlled DOAS-assisted SSLC system can achieve 20% energy savings compared to the conventional BMS-controlled AHU system."
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,system_model,ahu;chiller;coil;doas,"The MPC system significantly improved indoor thermal comfort by maintaining indoor PMV stably close to thermal neutrality (PMV = 0), as compared to the BMS which kept indoor thermal comfort at the cool side (PMV < 0) with large variations for most of the time."
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc controller,system_model,acmv,The feedback of state parameters is estimated by a Kalman filter based on the difference between SSM predicted and measured room conditions.
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc controller,system_model,ahu;coil,(18) ) which minimizes the cooling energy consumption and chases best thermal comfort in a prediction horizon.
10.1016_j.apenergy.2019.113920.json,greybox,kalman,system_model,acmv,State parameters in SSM are updated at each control interval to compensate for the model error of SSM and avoid the accumulation of prediction error in the MPC controller.
10.1016_j.apenergy.2019.113920.json,greybox,kalman,system_model,acmv,The feedback of state parameters is estimated by a Kalman filter based on the difference between SSM predicted and measured room conditions.
10.1016_j.apenergy.2019.113920.json,greybox,kalman,system_model,acmv;ahu;coil,Measured flowrates of fresh and return air are fed back to MPC to update the ACMV model in the SSM.
10.1016_j.apenergy.2019.113920.json,greybox,state-space,system_model,acmv,(8) also has good agreement with measured room humidity ratio and the mean absolute error is 0.0007 kg/kg.
10.1016_j.apenergy.2019.113920.json,greybox,state-space,system_model,acmv,"2.2.4 State-space representation The building model including sub-models of thermal RC, PMV, ACMV and indoor moisture described by Eqs."
10.1016_j.apenergy.2019.113920.json,greybox,state-space,system_model,acmv,"(4)–(14) can be represented in a state-space model (SSM), (16) x ̇ = A x + B u (17) y = C x + D u where x , u and y are the state, input, output vectors, respectively."
10.1016_j.apenergy.2019.113920.json,greybox,state-space,system_model,ahu;coil;doas,"Conclusion
5 Conclusion This work proposed a model predictive control (MPC) system for the control of conventional single-coil air handling unit (AHU) and dedicated outdoor air system (DOAS)-assisted separate sensible and latent cooling (SSLC) systems."
10.1016_j.apenergy.2019.113920.json,greybox,state-space,system_model,ahu;coil;doas,"The MPC system employs a linear state-space building model, which consists of sub-models of thermodynamics, predicted mean vote (PMV) and air-conditioning system, for forward prediction of building responses."
10.1016_j.apenergy.2019.113920.json,greybox,state-space,NM,NM,A real-time optimization scheme with a multi-objective cost function is implemented which optimizes both cooling energy efficiency and indoor thermal comfort while maintaining indoor PMV and humidity within required ranges.
10.1016_j.apenergy.2019.113920.json,greybox,state-space model,system_model,acmv;coil;doas,This paper presents a novel model predictive control (MPC) developed for a DOAS-assisted SSLC system.
10.1016_j.apenergy.2019.113920.json,greybox,state-space model,system_model,acmv;doas,"The MPC adopts a linear state-space model that captures building thermodynamics, thermal comfort and ACMV for building response prediction and optimization."
10.1016_j.apenergy.2019.113920.json,greybox,state-space model,system_model,acmv;ahu;coil;doas,"Subsequently, a multi-objective cost function is employed to optimize energy use and thermal comfort while fulfilling constraints of predicted mean vote (PMV) (-0.5, 0.5) and relative humidity (0%, 65%) in buildings."
10.1016_j.apenergy.2019.113920.json,greybox,state-space model,NM,NM,"A , B , C and D are state, input, output and feedthrough matrices."
10.1016_j.apenergy.2019.113920.json,whitebox,linear,system_model,acmv;coil;doas,This paper presents a novel model predictive control (MPC) developed for a DOAS-assisted SSLC system.
10.1016_j.apenergy.2019.113920.json,whitebox,linear,system_model,acmv;doas,"The MPC adopts a linear state-space model that captures building thermodynamics, thermal comfort and ACMV for building response prediction and optimization."
10.1016_j.apenergy.2019.113920.json,whitebox,linear,system_model,acmv;ahu;coil;doas,"Subsequently, a multi-objective cost function is employed to optimize energy use and thermal comfort while fulfilling constraints of predicted mean vote (PMV) (-0.5, 0.5) and relative humidity (0%, 65%) in buildings."
10.1016_j.apenergy.2019.113920.json,whitebox,linear,NM,NM,"m ̇ moi , o c c refers to the moisture generation ratio per occupant."
10.1016_j.apenergy.2019.113920.json,whitebox,linear,NM,NM,"A linear PMV calculation model developed in the previous study [29] is used to evaluate indoor thermal comfort, described by, (10) PMV = 35.71 ψ z + 0.1411 T mr + 0.1592 T z - 89.63 where subscript mr refers to mean radiant."
10.1016_j.apenergy.2019.113920.json,whitebox,linear,NM,NM,Eq.
10.1016_j.apenergy.2019.113920.json,whitebox,linear,NM,NM,(10) is derived based on the assumption that clothing insulation and metabolic rate of the occupants in LT3 are constant at 0.5 clo and 1.2 met.
10.1016_j.apenergy.2019.113920.json,whitebox,linear,NM,NM,The detailed modelling procedure of the linear PMV model is described in Ref.
10.1016_j.apenergy.2019.113920.json,whitebox,linear,system_model,acmv;ahu;coil;doas,[29] .
10.1016_j.apenergy.2019.113920.json,whitebox,linear,system_model,ahu;coil;doas,"The secondary coil operates at a higher temperature such that there is no water condensation, and thus, the secondary cooling coil acts as a sensible heat sink to the room space."
10.1016_j.apenergy.2019.113920.json,whitebox,linear,system_model,acmv;coil;doas,This allows the model of the DOAS-assisted SSLC system to be linear.
10.1016_j.apenergy.2019.113920.json,whitebox,linear,system_model,acmv;doas,Incorporating with the linear ACMV model (Eqs.
10.1016_j.apenergy.2019.113920.json,whitebox,linear,system_model,acmv;coil;doas,(31) and (32) in Ref.
10.1016_j.apenergy.2019.113920.json,whitebox,linear,system_model,ahu;coil;doas,"Conclusion
5 Conclusion This work proposed a model predictive control (MPC) system for the control of conventional single-coil air handling unit (AHU) and dedicated outdoor air system (DOAS)-assisted separate sensible and latent cooling (SSLC) systems."
10.1016_j.apenergy.2019.113920.json,whitebox,linear,system_model,ahu;coil;doas,"The MPC system employs a linear state-space building model, which consists of sub-models of thermodynamics, predicted mean vote (PMV) and air-conditioning system, for forward prediction of building responses."
10.1016_j.apenergy.2019.113920.json,whitebox,linear,NM,NM,A real-time optimization scheme with a multi-objective cost function is implemented which optimizes both cooling energy efficiency and indoor thermal comfort while maintaining indoor PMV and humidity within required ranges.
10.1016_j.apenergy.2019.113920.json,whitebox,linearized,system_model,acmv;ahu;coil;doas,"2.2.2 ACMV model When the ACMV system of the test room operates in the single-coil mode (DOAS off and AHU on), RH of the air from the cooling coil of AHU is assumed at 100%."
10.1016_j.apenergy.2019.113920.json,whitebox,linearized,system_model,acmv;ahu;coil;doas,"A linearized ACMV model developed in a previous study [29] is employed to predict moisture and heat gain from the original AHU ACMV system, (11) m ̇ moi , s a = 2.578 × 10 - 4 m ̇ fa T fa + 2.578 × 10 - 4 m ̇ ra T ra - 2.565 × 10 7 Q AHU + 0.6325 m ̇ fa ψ fa - m ̇ fa + 0.3675 m ̇ ra ψ ra - 0.07031 m ̇ fa - 0.07031 m ̇ ra and (12) Q sa = 369.4 m ̇ fa T fa - 1005 m ̇ fa + 63 5.6 ra T ra - 0.3675 Q AHU + 9.062 × 10 5 ( m ̇ fa ψ fa + m ̇ ra ψ ra ) + 1.734 × 10 5 m ̇ fa + 1.734 × 10 5 m ̇ ra In Eqs."
10.1016_j.apenergy.2019.113920.json,whitebox,linearized,system_model,acmv;ahu;coil,"(11) and (12) , subscripts fa and ra refer to fresh air and return air, respectively."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,system_model,acmv,"2.2 Building modelling To achieve optimal energy efficiency and thermal comfort, the building model should be able to capture the dynamics of building physics and to estimate indoor thermal comfort."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,A large size (layers and neurons) MLP ANN could lead to issues including (1) high risks of overfitting in model training and (2) high computation load.
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,"These two issues could cause low prediction accuracy and computing efficiency for MPC, respectively, limiting the control performance."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,The ‘trial-and-error’ [38] method is used to obtain a small-size ANN with high prediction accuracy which also keeps the risk of overfitting and the demand of computing power low.
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,"The thermal comfort model of the predicted mean vote (PMV) index [39,40] is employed to evaluate indoor occupant thermal comfort."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,The PMV model is used for predicting the future indoor thermal comfort in the prediction horizon for MPC to optimize indoor thermal comfort.
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,"As the PMV model is nonlinear and its calculation requires an iteration procedure to evaluate clothing surface temperature [39] , using the original MPC model could cause a high computation load."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,The PMV model is also usually simplified for MPC in previous studies.
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,Cigler et al.
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,Carli et al.
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,system_model,acmv,"Thus, the simplified PMV models that are of less complexity but with high-fidelity of accuracy as compared to the original PMV model."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,system_model,acmv,2.3 MPC formulation MPC controllers are developed to control the ACMV systems in the two testbeds (to be described in Sections 3 and 4 ).
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,system_model,acmv,"(2) , are to minimize the cooling energy consumed by ACMV systems and minimize the offset between indoor PMV and the thermal neutrality (PMV = 0)."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,The objective function (Eq.
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,"(2) ) also yields the building model, which is an equality constraint for the MPC."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,"In this study, the penalty factor, W PMV , is set at 4 which gives a high weightage to the thermal comfort term compared to other terms in Eq."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,Other configurations of the MPC for the specific testbeds are described in Sections 3 and 4 .
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,"As the NARX ANN-based building dynamics model is nonlinear, a nonlinear optimizer is needed to solve the nonlinear optimization problem of the MPC."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,"Several global optimization approaches such as exhaustive search method (ESM) [44] , genetic algorithm (GA) [45] , particle swarm optimization (PSO) [46] and firefly algorithm (FA) [47] as well as gradient-based approaches such as interior-point method [48] and subsequent quadratic programming (SQP) [49] have been used to solve the nonlinear optimization problems in BAC applications."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,"In order to address the challenges facing the two types of approaches, this study proposes a hybrid optimization approach that combines the global and gradient-based optimization approaches to solve the nonlinear optimization problem of the MPC."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,The concept behind the hybrid optimization approach is that coarse global optimal solutions in the prediction horizon are first searched using a global optimization approach (primary optimizer).
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,"For the optimization problem of the MPC, the solution (cooling power) is constrained within the range (0, Q max ) and it could be discretized into a series of candidates ( Q 1 , Q 2 , …, Q m ), where Q 1 = 0 and Q m = Q max ."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,The prediction horizon and control horizon of the MPC are 12 and 2 control intervals.
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,The variable m is given a value of 10 that gives computationally tractable optimization problems without making the initial guesses too coarse.
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,The hybrid optimization problem is solved employing the MATLAB environment [51] in this study.
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,"2.4 MPC system architecture The proposed MPC system consists of a MPC controller, a model adaptation module and a local controller, as illustrated in Fig."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,4 .
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,system_model,acmv,The MPC system is initialized using measured historical building operation data as described in Section 2.1 .
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,system_model,acmv,"As the MPC system controls the building, the MPC controller generates optimal solutions of the manipulated variable (cooling power of ACMV systems) in the prediction horizon and passes the solutions of the first control interval to the local controller."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,system_model,acmv,The local controller is based on the PID scheme and tracks the optimal cooling power by regulating the actuators in ACMV systems.
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,More details of the MPC system for specific testbeds are described in Section 3 and 4 .
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,"The online building operation data, including the cooling power control signal generated by the MPC controller, measured disturbances and room conditions, as shown in Fig."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,This model adaptation time interval allows the accumulation of building operation data to a volume that could cause significant changes in the building dynamics model in model adaptation.
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,"To evaluate the control performance of the proposed MPC system in real building settings, testbeds are set up in two different buildings including (1) an office with moderate occupancy load representing typical commercial built environment and, (2) a lecture theatre with heavy occupancy representing high-heat-load built environment."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,The R 2 values indicate that the trained ANN models have high prediction accuracy.
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,Increasing the size of the ANN model might not bring significant benefit but could lead to higher computation loads for MPC and higher risks of overfitting.
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,"For both building dynamics and thermal comfort models with the selected model size, the R 2 values during training, validation and testing stages are consistent, showing no evidence of overfitting."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,The building dynamics model will be further updated continuously when the MPC is controlling the office as described in Sections 2.1 and 2.4 using the online building operation data whereas the thermal comfort model remains unchanged.
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,3.3 MPC system The MPC system is added as an alternative control system to the original thermostat control.
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,It was found that the average absolute mismatch between the set point and measured cooling power is 65 W based on the MPC test results.
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,"Since the measured state variable (room air temperature) is fed back to the MPC controller at each control interval, the prediction error of the thermodynamics model caused by the cooling power mismatch is eliminated at each control interval."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,system_model,vav,The MPC system was implemented in a control sever with a CPU of Intel Core i5-3317U @ 1.70 GHz and 4G RAM.
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,system_model,vav,Each test case ran for a continuous period that contains 20 workdays (December 2018 – January 2019 for thermostat case and February 2019–March 2019 for MPC case).
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,system_model,vav,"Besides the purpose of revealing the control performance of the thermostat, the building operation data measured during the thermostat case were also used to construct the initial ML-based building dynamics and thermal comfort models for the MPC controller, as described in Section 3.2 ."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,system_model,vav,Each test case ran for a continuous period that contains 20 workdays (December 2018 – January 2019 for thermostat case and February 2019–March 2019 for MPC case).
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,system_model,acmv,"Besides the purpose of revealing the control performance of the thermostat, the building operation data measured during the thermostat case were also used to construct the initial ML-based building dynamics and thermal comfort models for the MPC controller, as described in Section 3.2 ."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,The variables of the LT model (building dynamics + thermal comfort) are listed in Table 3 .
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,4.3 MPC system The MPC system is installed in LT as an additional control system.
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,7 are collected by an I/O system (Schneider AS) and passed to the MPC system in real-time.
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,"The number of occupants is estimated based on the measured supply air CO 2 concentration, return air CO 2 concentration and supply air flowrate using Eq."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,"In contrast, the MPC cooled down the office smoothly to reach the desired comfort level without overshooting during the morning start-up period."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,"The predictive capability of the MPC might have prevented the overshooting of cooling, bringing advantages in energy efficiency and occupant comfort."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,"In addition, the distribution range of PMV is much narrower with the MPC than that with the thermostat."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,"The average cooling power reduces from 1.88 kW in the thermostat case to 0.78 kW in the MPC case, indicating that the MPC case consumed 58.5% less cooling energy than the thermostat case did."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,This energy saving is achieved by taking advantage of thermal comfort knowledge and model-based optimization feature of the MPC system to pursue thermal neutrality with minimum cooling energy consumption.
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,"The cooling power of the MPC case varies within a much narrower range (0–1.82 kW) than that of the thermostat case (0–6.30 kW), which echoes the observations that the MPC generally maintained more stable indoor conditions than the thermostat did."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,"The MPC control maintained the PMV within the comfortable range (-0.5, 0.5) during all the class time."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,system_model,chiller,"It shows that the mean cooling power reduces from 32.06 kW in the BMS case to 22.33 kW in the MPC case, indicating cooling energy savings by the MPC as compared to the BMS."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,system_model,ahu;chiller;vav,"Based on the measured cooling power, the electricity consumed by the chiller is estimated with an assumed coefficient of performance (COP) value of 5.39 of the chiller, obtained based on the historical average from the BMS."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,"In contrast, the MPC cooled down the office smoothly to reach the desired comfort level without overshooting during the morning start-up period."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,"The predictive capability of the MPC might have prevented the overshooting of cooling, bringing advantages in energy efficiency and occupant comfort."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,"In addition, the distribution range of PMV is much narrower with the MPC than that with the thermostat."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,"The average cooling power reduces from 1.88 kW in the thermostat case to 0.78 kW in the MPC case, indicating that the MPC case consumed 58.5% less cooling energy than the thermostat case did."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,This energy saving is achieved by taking advantage of thermal comfort knowledge and model-based optimization feature of the MPC system to pursue thermal neutrality with minimum cooling energy consumption.
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,"The cooling power of the MPC case varies within a much narrower range (0–1.82 kW) than that of the thermostat case (0–6.30 kW), which echoes the observations that the MPC generally maintained more stable indoor conditions than the thermostat did."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,NM,NM,"The MPC control maintained the PMV within the comfortable range (-0.5, 0.5) during all the class time."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,system_model,chiller,"It shows that the mean cooling power reduces from 32.06 kW in the BMS case to 22.33 kW in the MPC case, indicating cooling energy savings by the MPC as compared to the BMS."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,system_model,ahu;chiller;vav,"Based on the measured cooling power, the electricity consumed by the chiller is estimated with an assumed coefficient of performance (COP) value of 5.39 of the chiller, obtained based on the historical average from the BMS."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,system_model,acmv,The MPC achieves 36.7% reduction of ACMV electricity consumption as compared to the BMS.
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc,system_model,acmv,"Conclusion
7 Conclusion This paper presented the development, implementation, experimental testing and performance analysis of a proposed model predictive control system with an adaptive machine-learning-based building model for building automation and control applications."
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc control,NM,NM,This could be attributed to thermal comfort optimization with a thermal comfort model described by Eq.
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc control,NM,NM,This could be attributed to thermal comfort optimization with a thermal comfort model described by Eq.
10.1016_j.apenergy.2020.115147.json,[optim] classical_control_and_mpc,mpc controller,NM,NM,"The historical building operation data is used to construct and train an initial building model using ANN, which is chosen due to its high accuracy to model nonlinear systems [36] ."
