DOI,Year,Title,_include_terms,_include_categories
10.1016/j.buildenv.2015.08.018,2015,A framework for an adaptive thermal heat balance model (ATHB),,
10.1016/j.buildenv.2014.10.014,2015,Towards whom should indoor environmental quality control be sympathetic – Asthmatics or non-asthmatics?,control,Application
10.1016/j.proeng.2015.08.1056,2015,Investigation of Subjectively Assessed Health Symptoms and Human Thermal Perceptions in Transient Thermal Environments,,
10.1016/j.enbuild.2014.11.031,2015,Development and validation of a three dimensional thermal transient numerical model with sun patch: Application to a low energy cell,energy,Target
10.1016/j.egypro.2015.07.237,2015,Thermal Adaptive Models in Built Environment and Its Energy Implications in Eastern China,energy,Target
10.1016/j.enbuild.2014.10.069,2015,Robust model-based fault diagnosis for air handling units,,
10.1016/j.egypro.2015.11.180,2015,Assessment of Natural Ventilation within Buildings Located on Hot-temperate and Mild-temperate Regions,building,Context
10.1016/j.buildenv.2015.01.013,2015,A method of evaluating the accuracy of human body thermoregulation models,,
10.1016/j.buildenv.2015.02.019,2015,An ontology to represent energy-related occupant behavior in buildings. Part I: Introduction to the DNAs framework,"building,energy","Context,Target"
10.1016/j.egypro.2015.11.362,2015,Thermal Modeling and Parametric Analysis of Underground Rail Systems,,
10.1016/j.enbuild.2015.01.068,2015,Thermal uniformity in an open plan room with an active chilled beam system and conventional air distribution systems,,
10.1016/j.egypro.2015.11.113,2015,Passive Control of Indoor Climate Conditions in Low Energy Buildings,"building,energy,control","Application,Context,Target"
10.1016/j.applthermaleng.2014.09.078,2015,CFD analysis of the impact of physical parameters on evaporative cooling by a mist spray system,,
10.1016/j.applthermaleng.2015.01.030,2015,Online optimal control of variable refrigerant flow and variable air volume combined air conditioning system for energy saving,"energy,control","Application,Target"
10.1016/j.enbuild.2014.11.058,2015,A new methodology for cost-optimal analysis by means of the multi-objective optimization of building energy performance,"building,energy,energy performance","Context,Target"
10.1016/j.egypro.2015.11.697,2015,The EcoThermo Project: Key and Innovative Aspects,,
10.1016/j.egypro.2015.11.289,2015,A Study of Temperature Set Point Strategies for Peak Power Reduction in Residential Buildings,building,Context
10.1016/j.egypro.2015.11.671,2015,Summer Comfort in Exposed Concrete Free Running Buildings,building,Context
10.1016/j.energy.2015.02.011,2015,Peak load reductions: Electric load shifting with mechanical pre-cooling of residential buildings with low thermal mass,building,Context
10.1016/j.enbuild.2015.02.057,2015,Effective fuzzy black-box modeling for building heating dynamics,building,Context
10.1016/j.energy.2015.04.112,2015,Dynamic thermal dimensioning of underground spaces,,
10.1016/j.egypro.2015.07.603,2015,SPUCAL_mrt as a New Model for Estimating the Mean Radiant Temperature in Arid Lands,,
10.1016/j.enbuild.2015.04.035,2015,A combined passive-active sensor fault detection and isolation approach for air handling units,,
10.1016/j.egypro.2015.11.707,2015,Ventilative Cooling as a Solution for Highly Insulated Buildings in Cold Climate,building,Context
10.1016/j.enbuild.2015.08.025,2015,Development and experimental demonstration of a plug-and-play multiple RTU coordination control algorithm for small/medium commercial buildings,"building,control","Application,Context"
10.1016/j.enbuild.2014.09.049,2015,Numerical study on performance of a desiccant cooling system with indirect evaporative cooler,,
10.1016/j.solener.2015.08.020,2015,Development of a new control strategy for improving the operation of multiple shades in a solarium,"operation,control",Application
10.1016/j.buildenv.2015.07.008,2015,Rational selection of heating temperature set points for China's hot summer – Cold winter climatic region,,
10.1016/j.enbuild.2015.01.040,2015,Measuring the potential of zonal space heating controls to reduce energy use in UK homes: The case of un-furbished 1930s dwellings,"energy,control","Application,Target"
10.1016/j.egypro.2015.11.645,2015,Measured Internal Temperatures in UK Homes – A Time Series Analysis And Modelling Approach,,
10.1016/j.proeng.2015.09.141,2015,Typical Dressing Behavior and Subjective Temperature in Beijing-Tianjin Summer Air-conditioning Office Building,building,Context
10.1016/j.buildenv.2014.11.033,2015,Temperature sensor placement optimization for VAV control using CFD–BES co-simulation strategy,control,Application
10.1016/j.buildenv.2014.11.032,2015,Cooling efficiency of a brushless direct current stand fan,,
10.1016/j.egypro.2015.12.059,2015,Simulating Building Thermal Behaviour: The Case Study of the School of the State Forestry Corp,building,Context
10.1016/j.proeng.2015.08.462,2015,Semi-supervised Energy Modeling (SSEM) for Building Clusters Using Machine Learning Techniques,"building,energy","Context,Target"
10.1016/j.egypro.2015.11.377,2015,A Methodology to Assess the Ambient Temperature of a Building using a Limited Number of Sensors,building,Context
10.1016/j.proeng.2015.09.021,2015,Analysis of Thermal Environment in a Hospital Operating Room,,
10.1016/j.applthermaleng.2014.12.017,2015,A simplified analytical model to evaluate the impact of radiant heat on building cooling load,building,Context
10.1016/j.buildenv.2015.02.001,2015,Thermal performance characteristics of unshaded courtyards in hot and humid climates,,
10.1016/j.enbuild.2015.07.032,2015,Passive Houses for different climate zones,,
10.1016/j.enbuild.2015.06.024,2015,Thermal environment in the cotton textile workshop,,
10.1016/j.proeng.2015.08.1100,2015,Challenges for Modeling Energy Use in High-rise Office Buildings in Hong Kong,"building,energy","Context,Target"
10.1016/j.scs.2014.07.007,2015,Qatar 2022: Facing the FIFA World Cup climatic and legacy challenges,,
10.1016/j.egypro.2015.11.659,2015,Comfort and Perceived Air Quality in Refurbished Social Houses with Mechanical Ventialtion System: The Impact of Occupants Behaviour,,
10.1016/j.apenergy.2014.11.064,2015,Experimental study of occupancy-based control of HVAC zones,control,Application
10.1016/j.apenergy.2015.08.077,2015,Modeling industrial loads in non-residential buildings,building,Context
10.1016/j.apenergy.2014.11.042,2015,Big-data for building energy performance: Lessons from assembling a very large national database of building energy use,"building,energy,energy performance","Context,Target"
10.1016/j.egypro.2015.11.308,2015,Modelling of a Multi-purpose Commercial Building for Demand Response Analysis,"building,demand response","Application,Context"
10.1016/j.egypro.2015.11.316,2015,Adaptive Control for Building Thermo-hygrometric Analysis: A Novel Dynamic Simulation Code for Indoor Spaces with Multi-enclosed Thermal Zones,"building,control","Application,Context"
10.1016/j.egypro.2015.11.628,2015,Overheating Risk of UK Dwellings Under a Changing Climate,,
10.1016/j.buildenv.2014.11.030,2015,A novel concept to determine the optimal heating mode of residential rooms based on the inverse problem method,,
10.1016/j.energy.2015.02.008,2015,Identifying key variables and interactions in statistical models of building energy consumption using regularization,"building,energy","Context,Target"
10.1016/j.egypro.2015.11.320,2015,Applying Model Predictive Control to a LEED Silver-certified Building,"building,control,predictive control","Application,Context"
10.1016/j.renene.2015.07.003,2015,Energy cost models for air supported sports hall in cold climates considering energy efficiency,"energy,energy efficiency",Target
10.1016/j.buildenv.2014.10.018,2015,Does the occupant behavior match the energy concept of the building? – Analysis of a German naturally ventilated office building,"building,energy","Context,Target"
10.1016/j.enbuild.2015.08.038,2015,Assessment of different airflow modeling approaches on a naturally ventilated Mediterranean building,building,Context
10.1016/j.buildenv.2015.05.014,2015,Modeling and measurement study on an intermittent heating system of a residence in Cambridgeshire,,
10.1016/j.enbuild.2015.03.045,2015,A neural network-based multi-zone modelling approach for predictive control system design in commercial buildings,"building,control,predictive control","Application,Context"
10.1016/j.buildenv.2014.04.006,2015,Simple future weather files for estimating heating and cooling demand,,
10.1016/j.applthermaleng.2014.12.058,2015,Integrated control of the cooling system and surface openings using the artificial neural networks,control,Application
10.1016/j.egypro.2015.11.622,2015,Thermal Response of Different Body Parts: The Fingertip as Control Sensor for Personalized Heating,control,Application
10.1016/j.egypro.2015.11.061,2015,Verifying a Need of Artificial Cooling - A Simplified Method Dedicated to Single-family Houses in Poland,,
10.1016/j.egypro.2015.11.022,2015,Data Mining of Occupant Behavior in Office Buildings,building,Context
10.1016/j.egypro.2015.11.666,2015,"Natural Cross-ventilation of Buildings, An Experimental Study",building,Context
10.1016/j.proeng.2015.08.1042,2015,Analysis on Human Adaptive Levels in Different Kinds of Indoor Thermal Environment,,
10.1016/j.apenergy.2015.05.096,2015,Development of a model predictive control framework through real-time building energy management system data,"building,energy,control,predictive control","Application,Context,Target"
10.1016/j.buildenv.2015.10.015,2015,Technical feasibility of a stratum-ventilated room for multiple rows of occupants,,
10.1016/j.egypro.2015.06.008,2015,Comparative Multiple Regression Analysis of Household Electricity use in Latvia: Using Smart Meter Data to Examine the Effect of Different Household Characteristics,,
10.1016/j.buildenv.2015.05.039,2015,Occupant perceptions and a health outcome in retail stores,,
10.1016/j.buildenv.2015.06.020,2015,"Atrium cooling performance in a low energy office building in the Tropics, a field study","building,energy","Context,Target"
10.1016/j.enbuild.2015.05.043,2015,Potential cooling savings from a ground-coupled return-air duct system for residential buildings in hot and humid climates,building,Context
10.1016/j.enbuild.2015.01.029,2015,Using a hybrid method to construct a computational efficient cooling coil model for an automated single-duct variable air volume system fault detection and diagnosis,fault detection and diagnosis,Application
10.1016/j.proeng.2015.09.129,2015,Experimental Test on a new Integrated Rural Energy Usage Mode,energy,Target
10.1016/j.buildenv.2015.08.026,2015,Using air movement for comfort during moderate exercise,,
10.1016/j.enbuild.2015.03.007,2015,Parameters influencing the energy performance of residential buildings in different Chinese climate zones,"building,energy,energy performance","Context,Target"
10.1016/j.enbuild.2015.02.036,2015,The influence of surface finishes on the energy demand of HVAC systems for existing buildings,"building,energy","Context,Target"
10.1016/j.enbuild.2015.03.009,2015,"His, hers or both's? The role of male and female's attitudes in explaining their home energy use behaviours",energy,Target
10.1016/j.buildenv.2015.10.024,2015,Acceptance of thermal conditions and energy use of three ventilation strategies with six exhaust configurations for the classroom,energy,Target
10.1016/j.buildenv.2015.06.008,2015,Numerical modeling of heat and moisture transfer in a wearable convective cooling system for human comfort,,
10.1016/j.applthermaleng.2015.08.012,2015,An experimental investigation into the pull-down performances with different air distributions,,
10.1016/j.energy.2015.03.014,2015,Scalable tuning of building models to hourly data,building,Context
10.1016/j.buildenv.2014.12.003,2015,Climate responsive strategies of traditional dwellings located in an ancient village in hot summer and cold winter region of China,,
10.1016/j.egypro.2015.11.653,2015,Indoor Environment Control and Energy Saving Performance of a Hybrid Ventilation System for a Multi-residential Building,"building,energy,control","Application,Context,Target"
10.1016/j.solener.2015.04.004,2015,NIR-reflecting properties of new paints for energy-efficient buildings,"building,energy","Context,Target"
10.1016/j.enbuild.2015.02.038,2015,Fener: A Radiance-based modelling approach to assess the thermal and daylighting performance of complex fenestration systems in office spaces,,
10.1016/j.proeng.2015.08.481,2015,Improving Data Center Energy Efficiency Using a Cyber-physical Systems Approach: Integration of Building Information Modeling and Wireless Sensor Networks,"building,energy,energy efficiency","Context,Target"
10.1016/j.egypro.2015.12.169,2015,Model Predictive Control for Building Active Demand Response Systems,"building,control,demand response,predictive control","Application,Context"
10.1016/j.buildenv.2015.01.021,2015,Air Diffusion Performance Index (ADPI) of diffusers for heating mode,,
10.1016/j.egypro.2015.11.098,2015,Simplified Characterization of Building Thermal Response Rates,building,Context
10.1016/j.apenergy.2015.08.048,2015,Experimental investigation of a two-inlet air-based building integrated photovoltaic/thermal (BIPV/T) system,building,Context
10.1016/j.enbuild.2015.05.019,2015,Double skin glazed façades in sunny Mediterranean climates,,
10.1016/j.egypro.2015.11.676,2015,The Effect of Thermal Inertia on Office Workers Subjective and Physiological Responses; and Performance Under Summer Conditions,,
10.1016/j.egypro.2015.11.674,2015,"Field Investigation of Indoor Thermal Environments in Apartments of Surabaya, Indonesia: Potential Passive Cooling Strategies for Middle-class Apartments",,
10.1016/j.buildenv.2014.10.029,2015,A validated three-node model for displacement ventilation,,
10.1016/j.buildenv.2015.02.033,2015,A perspective on fifty years of natural ventilation research,,
10.1016/j.enbuild.2015.02.013,2015,A temperature-based approach to detect abnormal building energy consumption,"building,energy","Context,Target"
10.1016/j.buildenv.2015.03.021,2015,Numerical investigation of ventilation performance of different air supply devices in an office environment,,
10.1016/j.buildenv.2014.10.026,2015,Energy-efficient comfort with a heated/cooled chair: Results from human subject tests,energy,Target
10.1016/j.proeng.2015.11.392,2015,Learning Energy Consumption and Demand Models through Data Mining for Reverse Engineering,energy,Target
10.1016/j.buildenv.2015.01.020,2015,Evaluating the potential of an indirect evaporative passive cooling system for Brazilian dwellings,,
10.1016/j.enbuild.2015.06.057,2015,The influence of apartment location on household space heating consumption in multi-apartment buildings,building,Context
10.1016/j.enbuild.2014.11.025,2015,Using the dynamic thermal properties to assess the internal temperature swings in free running buildings. A general model and its validation according to ISO 13792,building,Context
10.1016/j.buildenv.2015.08.003,2015,Thermal environment conditions in Polish operating rooms,,
10.1016/j.proeng.2015.09.026,2015,Impacts of Air-drying Shelter on Indoor Thermal Environment in Turfan,,
10.1016/j.proeng.2015.08.992,2015,Water Use Disaggregation Based on Classification of Feature Vectors Extracted from Smart Meter Data,,
10.1016/j.egypro.2015.11.254,2015,Impact of Control Availability on Perceived Comfort,control,Application
10.1016/j.scs.2013.09.005,2015,Carbon footprints of hotels: Analysis of three archetypes in Hong Kong,,
10.1016/j.buildenv.2015.05.032,2015,"Development, validation and application of a coupled reduced-order CFD model for building control applications","building,control","Application,Context"
10.1016/j.buildenv.2015.02.031,2015,Building neighborhood emerging properties and their impacts on multi-scale modeling of building energy and airflows,"building,energy","Context,Target"
10.1016/j.applthermaleng.2015.02.062,2015,Thermal performance measurement and application of a multilayer insulator for emergency architecture,,
10.1016/j.applthermaleng.2014.12.030,2015,A novel neural network aided fuzzy logic controller for a variable speed (VS) direct expansion (DX) air conditioning (A/C) system,control,Application
10.1016/j.egypro.2015.06.013,2015,Economy of Heat Cost Allocation in Apartment Buildings,building,Context
10.1016/j.scitotenv.2014.09.057,2015,Assessing spatial associations between thermal stress and mortality in Hong Kong: A small-area ecological study,,
10.1016/j.proeng.2015.08.478,2015,Determining the Feasibility of Statistical Techniques to Identify the Most Important Input Parameters of Building Energy Models,"building,energy","Context,Target"
10.1016/j.enbuild.2015.03.021,2015,Time series distance-based methods for non-intrusive load monitoring in residential buildings,building,Context
10.1016/j.proeng.2015.09.124,2015,Model Based Indirect Submetering Method of HVAC End-use in Existing Office Building,building,Context
10.1016/j.egypro.2015.11.046,2015,Analysis of Indoor Climate and Occupants’ Behaviour in Traditional Scottish Dwellings,,
10.1016/j.apenergy.2015.07.050,2015,Reinforcement learning for optimal control of low exergy buildings,"building,control","Application,Context"
10.1016/j.buildenv.2015.02.032,2015,Workplace productivity and individual thermal satisfaction,,
10.1016/j.buildenv.2014.12.022,2015,Comfort and performance impact of personal control over thermal environment in summer: Results from a laboratory study,control,Application
10.1016/j.enbuild.2015.05.055,2015,Performance studies of hybrid solid desiccant–vapor compression air-conditioning system for hot and humid climates,,
10.1016/j.scs.2014.05.014,2015,Metering drinking water in Armenia: The process and impacts,,
10.1016/j.egypro.2015.07.596,2015,Disaggregation of Electric Appliance's Consumption Using Collected Data by Smart Metering System,,
10.1016/j.enbuild.2014.11.075,2015,Empirical variation in 24-h profiles of delivered power for a sample of UK dwellings: Implications for evaluating energy savings,energy,Target
10.1016/j.egypro.2015.12.186,2015,Diagnosis of Buildings’ Thermal Performance - A Quantitative Method Using Thermography Under Non-steady State Heat Flow,building,Context
10.1016/j.solener.2015.02.031,2015,Occupant satisfaction with two blind control strategies: Slats closed and slats in cut-off position,control,Application
10.1016/j.apenergy.2014.11.023,2015,"A multi-objective approach for optimal prioritization of energy efficiency measures in buildings: Model, software and case studies","building,energy,energy efficiency","Context,Target"
10.1016/j.egypro.2015.11.107,2015,Fast on-Site Measurement Campaigns and Simple Building Models Identification for Heating Control,"building,control","Application,Context"
10.1016/j.enbuild.2015.03.044,2015,Application of a simplified thermal network model for real-time thermal load estimation,,
10.1016/j.egypro.2015.11.185,2015,Experimental Study of Influence of Movements on Airflow Under Stratum Ventilation,,
10.1016/j.proeng.2015.08.545,2015,Impact of Insulated Concrete Curb on Concrete Balcony Slab,,
10.1016/j.proeng.2015.09.182,2015,The Optimization of the Personalized Fresh Air Ventilation and Individualized Radiation in the Hospital Ward,,
10.1016/j.enbuild.2014.10.009,2015,A new desiccant channel to be integrated in building façades,building,Context
10.1016/j.enbuild.2015.01.006,2015,Research of the microclimate formed by the local DCV,,
10.1016/j.buildenv.2015.06.009,2015,Development of an occupancy learning algorithm for terminal heating and cooling units,,
10.1016/j.enbuild.2015.08.031,2015,Space temperature control of a GSHP-integrated air-conditioning system,control,Application
10.1016/j.enbuild.2014.10.058,2015,Simplified server model to simulate data center cooling energy consumption,energy,Target
10.1016/j.apenergy.2014.12.039,2015,A clustering approach to domestic electricity load profile characterisation using smart metering data,,
10.1016/j.egypro.2015.11.664,2015,Transient Modelling of Thermal Conditions in Test Buildings Including Radiation,building,Context
10.1016/j.proeng.2015.09.035,2015,Research on a Secondary Airflow-Relay System to Improve Ventilation Performance of Nozzle Supply in Large Space Buildings,building,Context
10.1016/j.enbuild.2015.06.042,2015,Wireless sensor network based monitoring system for a large-scale indoor space: data process and supply air allocation optimization,,
10.1016/j.enbuild.2015.09.067,2015,High resolution measured domestic hot water consumption of Canadian homes,,
10.1016/j.enbuild.2015.09.057,2015,Residential heating energy consumption modeling through a bottom-up approach for China's Hot Summer–Cold Winter climatic region,energy,Target
10.1016/j.egypro.2015.11.630,2015,Optimizing Indoor Climate Conditions in a Sports Building Located in Continental Europe,building,Context
10.1016/j.enbuild.2015.09.064,2015,Experimental study of energy performance in low-temperature hydronic heating systems,"energy,energy performance",Target
10.1016/j.proeng.2015.10.051,2015,"3I Buildings: Intelligent, Interactive and Immersive Buildings",building,Context
10.1016/j.proeng.2015.08.851,2015,Cloud Based Machine Learning Approaches for Leakage Assessment and Management in Smart Water Networks,,
10.1016/j.egypro.2015.11.035,2015,Towards a General Framework for an Observation and Knowledge based Model of Occupant Behaviour in Office Buildings,building,Context
10.1016/j.enbuild.2015.07.023,2015,Dynamic effect of thermal bridges on the energy performance of a low-rise residential building,"building,energy,energy performance","Context,Target"
10.1016/j.jobe.2015.03.002,2015,Judicious choice of the building compactness to improve thermo-aeraulic comfort in hot climate,building,Context
10.1016/j.apenergy.2014.10.029,2015,An energy signal tool for decision support in building energy systems,"building,energy","Context,Target"
10.1016/j.applthermaleng.2015.08.038,2015,Comparative performance analysis of the artificial-intelligence-based thermal control algorithms for the double-skin building,"building,control","Application,Context"
10.1016/j.buildenv.2015.07.024,2015,Implications of air-conditioning use on thermal perception in open spaces: A field study in downtown Rio de Janeiro,,
10.1016/j.proeng.2015.09.153,2015,The Stability of Water Ejector Using in Heating System,,
10.1016/j.proeng.2015.08.486,2015,Multi-scale Analysis and Optimization of Building Energy Performance – Lessons Learned from Case Studies,"building,energy,energy performance","Context,Target"
10.1016/j.conengprac.2015.04.012,2015,Statistical process monitoring of a multiphase flow facility,,
10.1016/j.enbuild.2015.07.024,2015,Estimation models of heating energy consumption in schools for local authorities planning,energy,Target
10.1016/j.aei.2015.09.003,2015,Ontology-based facility data model for energy management,energy,Target
10.1016/j.enbuild.2014.11.050,2015,Experimental study and analysis of an energy recovery ventilator and the impacts of defrost cycle,energy,Target
10.1016/j.buildenv.2014.10.024,2015,Experimental investigation of the flow behavior of an isothermal impinging jet in a closed cabin,,
10.1016/j.egypro.2015.11.768,2015,Overall Indoor Quality of a Non-renewed Secondary-school Building,building,Context
10.1016/j.rser.2015.01.004,2015,"Smart meters for industrial energy conservation and efficiency optimization in Pakistan: Scope, technology and applications",energy,Target
10.1016/j.buildenv.2015.08.006,2015,An ontology to represent energy-related occupant behavior in buildings. Part II: Implementation of the DNAS framework using an XML schema,"building,energy","Context,Target"
10.1016/j.enbuild.2015.08.049,2015,Energy analysis of religious facilities in different climates through a long-term energy study,energy,Target
10.1016/j.autcon.2014.09.004,2015,Automated daily pattern filtering of measured building performance data,building,Context
10.1016/j.enbuild.2014.09.066,2015,Simple automatic supervisory control system for office building based on energy-saving decoupling indoor comfort control,"building,energy,control","Application,Context,Target"
10.1016/j.egypro.2015.07.679,2015,"Case Study of Smart Meter and In-home Display for Residential Behavior Change in Shanghai, China",,
10.1016/j.apenergy.2015.05.075,2015,Energy efficient climate control in office buildings without giving up implementability,"building,energy,control","Application,Context,Target"
10.1016/j.egypro.2015.12.175,2015,Modeling for Reactive Building Energy Management,"building,energy","Context,Target"
10.1016/j.buildenv.2014.12.012,2015,Real-time monitoring framework to investigate the environmental and structural performance of buildings,building,Context
10.1016/j.enbuild.2014.12.026,2015,Experimental and numerical studies of reducing cooling load of lecture hall,,
10.1016/j.enbuild.2014.10.054,2015,Advanced cooling technology with thermally activated building surfaces and model predictive control,"building,control,predictive control","Application,Context"
10.1016/j.enbuild.2015.07.030,2015,"Statistical analysis of driving factors of residential energy demand in the greater Sydney region, Australia",energy,Target
10.1016/j.egypro.2015.11.053,2015,BUILDING FUTURE Lab.: A Great Infrastructure for Testing,building,Context
10.1016/j.buildenv.2014.12.017,2015,Topographical optimisation of single-storey non-domestic steel framed buildings using photovoltaic panels for net-zero carbon impact,building,Context
10.1016/j.enbuild.2015.10.010,2015,Investigation of soil thermal saturation and recovery under intermittent and continuous operation of EATHE,operation,Application
10.1016/j.egypro.2015.11.712,2015,Analysis of the Acoustic Conditions in a Tent Structures,,
10.1016/j.buildenv.2014.09.022,2015,Workers' awareness and indoor environmental quality in electricity-saving offices,,
10.1016/j.egypro.2015.12.211,2015,Smart Metering Deployment in Brazil,,
10.1016/j.apenergy.2015.09.049,2015,Advanced building energy management based on a two-stage receding horizon optimization,"building,energy","Context,Target"
10.1016/j.enbuild.2015.03.053,2015,Energy disaggregation analysis of a supermarket chain using a facility-model,energy,Target
10.1016/j.egypro.2015.11.207,2015,Use of Trend Data from BEMS for the Ongoing Commissioning of HVAC Systems,commissioning,Application
10.1016/j.enbuild.2015.05.057,2015,A numerical analysis of the air ventilation management and assessment of the behavior of double skin facades,,
10.1016/j.rser.2015.04.062,2015,The historical evolution of the energy efficient buildings,"building,energy","Context,Target"
10.1016/j.buildenv.2015.05.005,2015,"Classification of climatic strategies, used in Iranian vernacular residences based on spatial constituent elements",,
10.1016/j.ijrefrig.2015.05.017,2015,Real-time thermal load calculation by automatic estimation of convection coefficients,,
10.1016/j.egypro.2015.07.154,2015,A New Method for Modeling Energy Performance in Buildings,"building,energy,energy performance","Context,Target"
10.1016/j.energy.2015.08.102,2015,Performance analysis of a thermoelectric air duct system for energy-efficient buildings,"building,energy","Context,Target"
10.1016/j.enbuild.2014.11.044,2015,A model for the complexity of household energy consumption,energy,Target
